ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
38;1501330000;2464086;2464086;LIMA;LIMA;SAN JUAN DE MIRAFLORES;CREACION DEL PARQUE INFANTIL VIRGEN DEL BUEN PASO EN EL AA.HH. VIRGEN DEL BUEN PASO, ZONA PAMPLONA ALTA DEL DISTRITO DE SAN JUAN DE MIRAFLORES - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES;7;1857;Espacio Público;200 853;200853;Por recepcionar
39;1501030000;2434729;2434729;LIMA;LIMA;ATE;CREACION DEL SERVICIO DE ESPACIO PÚBLICO EN ÁREA DE JUEGOS RECREATIVOS DE LA UCV 147, ZONA J DEL PROYECTO ESPECIAL HUAYCAN, ZONA 07, DEL DISTRITO DE ATE - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE ATE - VITARTE;8;479;Espacio Público;237 339;224339;En Liquidación
40;1304010000;2442823;2442823;LA LIBERTAD;CHEPEN;CHEPEN;CREACION DE LA PLAZUELA LAS TINAJAS TALAMBO DEL DISTRITO DE CHEPEN - PROVINCIA DE CHEPEN - DEPARTAMENTO DE LA LIBERTAD;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE CHEPEN;10;2087;Espacio Público;302 074;302073;Normal
41;609010000;2480056;2480056;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;CREACION DEL SERVICIO RECREACIONAL EN EL SECTOR SANTA ROSA  DISTRITO DE SAN IGNACIO - PROVINCIA DE SAN IGNACIO - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO;11;800;Espacio Público;359 146;359651;Atrasada
42;1502010000;2408118;2408118;LIMA;BARRANCA;BARRANCA;CREACION DEL PARQUE GUSTAVO TELLO VELARDE EN LA ZONA DE CHOCOY - DISTRITO DE BARRANCA - PROVINCIA DE BARRANCA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE BARRANCA;12;2028;Espacio Público;384 754;384754;Proceso de Selección
43;510100000;347246;2308805;AYACUCHO;VICTOR FAJARDO;HUALLA;CREACION DE LOSA DEPORTIVA MULTIUSO EN LA LOCALIDAD DE HUALLA, DISTRITO DE HUAYA - VICTOR FAJARDO - AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUAYA;14;1331;Espacio Público;457 264;390726;Por recepcionar
44;604150000;2406855;2406855;CAJAMARCA;CHOTA;QUEROCOTO;CREACION Y CONSTRUCCIÓN DE LA PLAZA EN  C.P. PARIAMARCA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;13;748;Espacio Público;414 543;402188;Atrasada
45;2207020000;311529;2249703;SAN MARTIN;PICOTA;BUENOS AIRES;CREACION DE LOSA DEPORTIVA MULTIUSOS EN LA LOCALIDAD DE BUENOS AIRES, DISTRITO DE BUENOS AIRES - PICOTA - SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE BUENOS AIRES;12;2200;Espacio Público;391 798;419215;Atrasada
46;505070000;2457465;2457465;AYACUCHO;LA MAR;SANTA ROSA;CREACION DEL PARQUE PRINCIPAL EN EL CENTRO POBLADO DE MARINTARI,  DISTRITO DE SANTA ROSA - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;14;911;Espacio Público;459 170;459170;Atrasada
47;2205090000;2443381;2443381;SAN MARTIN;LAMAS;SHANAO;CREACION DE LA LOSA RECREATIVA DE USO MÚLTIPLES EN EL  DISTRITO DE SHANAO - PROVINCIA DE LAMAS - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SHANAO;15;1600;Espacio Público;481 683;466682;En Liquidación
