ITEM;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;MONTO DE INVERSIÃ“N;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
25;2406888;2406888;CAJAMARCA;CHOTA;QUEROCOTO;CREACION Y CONSTRUCCIÃ“N DEL PARQUE EN C.P. PACOPAMPA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;13;966;402 644;419617;Atrasada
26;2445099;2445099;HUANCAVELICA;HUANCAVELICA;HUANDO;CREACION DEL PARQUE INFANTIL  EN EL BARRIO PROGRESO,  LOCALIDAD DE HUANDO DEL DISTRITO DE HUANDO - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUANDO;8;910;215 775;192828;Por recepcionar
27;2456560;2456560;APURIMAC;CHINCHEROS;HUACCANA;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PUBLICO RECREACIONAL EN EL SECTOR  DE ROSASPATA DE LA LOCALIDAD DE HUACCANA DEL DISTRITO DE HUACCANA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUACCANA;9;2046;282 252;282251;Adelantada
28;2448772;2448772;APURIMAC;AYMARAES;COTARUSE;CREACION DEL PARQUE RECREACIONAL INFANTIL EN LA LOCALIDAD DE COTARUSE DEL DISTRITO DE COTARUSE - PROVINCIA DE AYMARAES - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE COTARUSE;10;1278;304 685;304685;Atrasada
29;2469873;2469873;PUNO;MELGAR;AYAVIRI;CREACION DEL PARQUE RECREACIONAL EN LA URBANIZACION TUPAC AMARU DE LA LOCALIDAD DE AYAVIRI DEL DISTRITO DE AYAVIRI - PROVINCIA DE MELGAR - DEPARTAMENTO DE PUNO;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI;11;484;320 248;312247;Por recepcionar
30;2478711;2478711;LIMA;LIMA;LURIN;CREACION DE LOS SERVICIOS RECREATIVOS Y ESPARCIMIENTO EN LA ASOCIACIÃ“N PRO VIVIENDA LOS SUSPIROS, ZONA A DEL DISTRITO DE LURIN - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE LURIN;11;2342;351 171;351171;Por recepcionar
31;2409828;2409828;LIMA;HUAROCHIRI;SAN ANTONIO;CREACION DE PARQUE INFANTIL DE LA zona 06 del anexo 08 - DISTRITO DE SAN ANTONIO - PROVINCIA DE HUAROCHIRI - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;11;72970;337 599;355599;Atrasada
32;2408136;2408136;LIMA;HUAURA;VEGUETA;CREACION DE PARQUE RECREATIVO EN EL CENTRO POBLADO PRIMAVERA - DISTRITO DE VEGUETA - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE VEGUETA;12;902;376 296;361296;Proceso de SelecciÃ³n
33;2453288;2453288;ICA;ICA;PARCONA;CREACION DEL SERVICIO DE RECREACION Y ESPARCIMIENTO EN EL PARQUE DEL AA.HH. LOS JAZMINES  DISTRITO DE PARCONA - PROVINCIA DE ICA - DEPARTAMENTO DE ICA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PARCONA;12;1490;382 312;357311;Recepcionada
34;2428178;2428178;PIURA;PAITA;LA HUACA;CREACION DE PARQUE RECREATIVO EN LA AV. LUIS F AGURTO, EN LA VILLA SANTA ANA LA HUACA DEL DISTRITO DE LA HUACA - PROVINCIA DE PAITA - DEPARTAMENTO DE PIURA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE LA HUACA;15;982;491 564;430563;Normal
35;2437279;2437279;CUSCO;CUSCO;SAN JERONIMO;MEJORAMIENTO DEL PARQUE Y ZONAS DE ENTRETENIMIENTO EN LA APV. HUAYNA PICOL DEL DISTRITO DE SAN JERONIMO - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN JERONIMO;18;1527;596 872;490357;Atrasada
36;2321482;2321482;SAN MARTIN;EL DORADO;SAN MARTIN;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE NUEVO PUCACACA DEL DISTRITO DE SAN MARTIN - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN MARTIN;17;2247;526 482;514481;En LiquidaciÃ³n
37;2465772;2465772;LIMA;LIMA;JESUS MARIA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL JIRÃ“N GENERAL JOSÃ‰ DE CANTERAC EN JESUS MARIA DEL DISTRITO DE JESUS MARIA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE JESUS MARIA;43;5676;1 448 247;1350959;Por recepcionar
38;2464086;2464086;LIMA;LIMA;SAN JUAN DE MIRAFLORES;CREACION DEL PARQUE INFANTIL VIRGEN DEL BUEN PASO EN EL AA.HH. VIRGEN DEL BUEN PASO, ZONA PAMPLONA ALTA DEL DISTRITO DE SAN JUAN DE MIRAFLORES - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES;7;1857;200 853;200853;Por recepcionar
39;2434729;2434729;LIMA;LIMA;ATE;CREACION DEL SERVICIO DE ESPACIO PÃšBLICO EN ÃREA DE JUEGOS RECREATIVOS DE LA UCV 147, ZONA J DEL PROYECTO ESPECIAL HUAYCAN, ZONA 07, DEL DISTRITO DE ATE - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE ATE - VITARTE;8;479;237 339;224339;En LiquidaciÃ³n
40;2442823;2442823;LA LIBERTAD;CHEPEN;CHEPEN;CREACION DE LA PLAZUELA LAS TINAJAS TALAMBO DEL DISTRITO DE CHEPEN - PROVINCIA DE CHEPEN - DEPARTAMENTO DE LA LIBERTAD;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE CHEPEN;10;2087;302 074;302073;Normal
41;2480056;2480056;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;CREACION DEL SERVICIO RECREACIONAL EN EL SECTOR SANTA ROSA  DISTRITO DE SAN IGNACIO - PROVINCIA DE SAN IGNACIO - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO;11;800;359 146;359651;Atrasada
42;2408118;2408118;LIMA;BARRANCA;BARRANCA;CREACION DEL PARQUE GUSTAVO TELLO VELARDE EN LA ZONA DE CHOCOY - DISTRITO DE BARRANCA - PROVINCIA DE BARRANCA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE BARRANCA;12;2028;384 754;384754;Proceso de SelecciÃ³n
43;347246;2308805;AYACUCHO;VICTOR FAJARDO;HUALLA;CREACION DE LOSA DEPORTIVA MULTIUSO EN LA LOCALIDAD DE HUALLA, DISTRITO DE HUAYA - VICTOR FAJARDO - AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE HUAYA;14;1331;457 264;390726;Por recepcionar
44;2406855;2406855;CAJAMARCA;CHOTA;QUEROCOTO;CREACION Y CONSTRUCCIÃ“N DE LA PLAZA EN  C.P. PARIAMARCA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;13;748;414 543;402188;Atrasada
45;311529;2249703;SAN MARTIN;PICOTA;BUENOS AIRES;CREACION DE LOSA DEPORTIVA MULTIUSOS EN LA LOCALIDAD DE BUENOS AIRES, DISTRITO DE BUENOS AIRES - PICOTA - SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE BUENOS AIRES;12;2200;391 798;419215;Atrasada
46;2457465;2457465;AYACUCHO;LA MAR;SANTA ROSA;CREACION DEL PARQUE PRINCIPAL EN EL CENTRO POBLADO DE MARINTARI,  DISTRITO DE SANTA ROSA - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;14;911;459 170;459170;Atrasada
47;2443381;2443381;SAN MARTIN;LAMAS;SHANAO;CREACION DE LA LOSA RECREATIVA DE USO MÃšLTIPLES EN EL  DISTRITO DE SHANAO - PROVINCIA DE LAMAS - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SHANAO;15;1600;481 683;466682;En LiquidaciÃ³n
48;2455422;2455422;PASCO;PASCO;YANACANCHA;CREACION DE  LOSA MULTIUSO  EN EL JR. UCAYALI DEL AA.HH. VÃCTOR RAUL HAYA DE LA TORRE,  DISTRITO DE YANACANCHA - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE YANACANCHA;17;11241;528 377;496153;Atrasada
49;2452577;2452577;JUNIN;HUANCAYO;CHILCA;CREACION DE LOSA DE RECREACIÃ“N MULTIUSOS EN EL SUB SECTOR SC 11  DISTRITO DE CHILCA - PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE CHILCA;18;6053;594 688;479207;Atrasada
50;2451819;2451819;AYACUCHO;HUAMANGA;ACOCRO;CREACION DEL PARQUE Y ÃREAS VERDES EN EL CENTRO POBLADO DE JESÃšS NAZARENO DE CHONTACA DEL  DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE ACOCRO;15;1670;499 540;499540;Adelantada
51;2427872;2427872;AYACUCHO;LA MAR;SAN MIGUEL;CREACION DEL SERVICIO DE PARQUES Y JARDINES DE PATIBAMBA DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL;16;389;524 288;524287;Por recepcionar
52;2445184;2445184;JUNIN;CONCEPCION;MITO;CREACION DE LA LOSA DEPORTIVA EN EL BARRIO CULTURAL DE AMANCAES DEL  DISTRITO DE MITO - PROVINCIA DE CONCEPCION - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE MITO;17;1250;545 114;535513;Atrasada
53;2415934;2415934;AYACUCHO;LA MAR;SAMUGARI;CREACION DE LOSA DE RECREACIÃ“N MULTIUSO EN EL CENTRO POBLADO DE PALMAPAMPA DEL DISTRITO DE SAMUGARI - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAMUGARI;18;3279;585 760;576096;Recepcionada
54;2468022;2468022;SAN MARTIN;SAN MARTIN;SAN ANTONIO;CREACION DE ALAMEDA PEATONAL LA PAZ EN EL  DISTRITO DE SAN ANTONIO - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;19;1387;613 317;598316;Atrasada
55;2425984;2425984;JUNIN;JAUJA;JAUJA;CREACION DEL SERVICIO DE LOSA DE RECREACIÃ“N MULTIUSO EN EL BARRIO SAN ANTONIO DEL DISTRITO DE JAUJA - PROVINCIA DE JAUJA - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE JAUJA;20;1805;662 699;581158;Normal
56;2295056;2295056;JUNIN;CHANCHAMAYO;PICHANAKI;CREACION DEL SERVICIO DE RECREACION DE LA LOSA MULTIUSOS EN EL CENTRO POBLADO JUAN VELASCO ALVARADO, DISTRITO DE PICHANAQUI - CHANCHAMAYO - JUNIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PICHANAQUI;19;684;605 496;605496;Adelantada
57;2429984;2429984;AMAZONAS;BAGUA;EL PARCO;CREACION DE LA LOSA DE RECREACION MULTIUSO EN LA LOCALIDAD DE EL PARCO DEL DISTRITO DE EL PARCO - PROVINCIA DE BAGUA - DEPARTAMENTO DE AMAZONAS;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE EL PARCO;19;1485;611 459;611459;Atrasada
58;2437522;2437522;AYACUCHO;HUANCA SANCOS;SANTIAGO DE LUCANAMARCA;CREACION DE PARQUE EN LA COMUNIDAD DE SAN JOSE DE HUARCAYA DEL DISTRITO DE SANTIAGO DE LUCANAMARCA - PROVINCIA DE HUANCA SANCOS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE SANTIAGO DE LUCANAMARCA;19;857;615 334;615333;Normal
59;2463835;2463835;AYACUCHO;HUAMANGA;JESUS NAZARENO;CREACION DE LOSA DE RECREACIÃ“N MULTIUSOS EN LA ASOCIACIÃ“N DE VIVIENDA VIRGEN INMACULADA CONCEPCIÃ“N DEL ASENTAMIENTO HUMANO UNION HUICHCCANA DEL DISTRITO DE JESUS NAZARENO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE JESUS NAZARENO;19;1957;622 704;622705;Adelantada
60;2455771;2455771;LORETO;UCAYALI;CONTAMANA;CREACION DE LA LOSA MULTIUSOS DE LA CALLE AMAZONAS EN LA CIUDAD DE CONTAMANA,  DISTRITO DE CONTAMANA - PROVINCIA DE UCAYALI - DEPARTAMENTO DE LORETO;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE UCAYALI - CONTAMANA;22;2019;724 134;654007;Por recepcionar
61;2480302;2480302;AYACUCHO;PARINACOCHAS;PUYUSCA;CREACION DE LOSA DE RECREACIÃ“N MULTIUSOS DE LA ZONA I DE LA  LOCALIDAD DE INCUYO DEL DISTRITO DE PUYUSCA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE PUYUSCA;21;1111;686 021;686020;Por recepcionar
62;364690;2328328;SAN MARTIN;EL DORADO;SAN JOSE DE SISA;MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL URBANO DEL JR UNION CUADRA 01, EN LA LOCALIDAD DE SAN JOSE DE SISA,DISTRITO DE SAN JOSE DE SISA, PROVINCIA DE EL DORADO - SAN MARTIN;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE EL DORADO;67;110;2 273 605;697372;Atrasada
63;2326990;2326990;PIURA;SULLANA;BELLAVISTA;CREACION DEL SERVICIO RECREACIONAL DEL PARQUE DEL AA.HH. NUEVO PORVENIR DE LA LOCALIDAD DE BELLAVISTA DEL DISTRITO DE BELLAVISTA - PROVINCIA DE SULLANA - DEPARTAMENTO DE PIURA;DU 070_172 PROY;URBANO;MUNICIPALIDAD DISTRITAL DE BELLAVISTA;22;1218;720 088;720087;Por recepcionar
64;2413237;2413237;APURIMAC;CHINCHEROS;ANCO HUALLO;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PÃšBLICO EN LA PLAZA DE ARMAS DEL CENTRO POBLADO DE CHUPARO,  DISTRITO DE ANCO_HUALLO - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE CHINCHEROS;23;1116;775 587;748863;Atrasada
65;2456282;2456282;AYACUCHO;SUCRE;QUEROBAMBA;CREACION DEL PARQUE Y ÃREAS VERDES DEL CENTRO POBLADO DE POMA CCOLCCABAMBA DEL DISTRITO DE QUEROBAMBA - PROVINCIA DE SUCRE - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;URBANO;MUNICIPALIDAD PROVINCIAL DE SUCRE - QUEROBAMBA;31;470;1 038 093;820010;Atrasada
